EAPSI_c019_15_d4_02-4VU,,EAPSI_c019_15_d4_04-8VU,,EAPSI_c019_15_d5_02-4VU,,EAPSI_c019_15_d5_04-8VU,,EAPSI_c019_15_d5_06-12VU,,0,[0],0,[0],0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,200,10,200,10,200,10,200,10,200,1,[1],1,[1],1,1,1,1,0.05235602094240838,0.04975124378109453,0.04975124378109453,0.05235602094240838,0.05235602094240838
Time [s],Current [A],Time [s],Current [A],Time [s],Current [A],Time [s],Current [A],Time [s],Current [A],2,[2],2,[2],2,2,2,2,0.10471204188481675,0.09950248756218906,0.09950248756218906,0.10471204188481675,0.10471204188481675
179.57127809524536,5.9949e-09,179.6203579902649,2.39477e-06,179.5180962085724,6.6051e-07,179.6114158630371,2.08606e-06,179.58458995819092,0.0120026,3,[3],3,[3],3,3,3,3,0.15706806282722513,0.1492537313432836,0.1492537313432836,0.15706806282722513,0.15706806282722513
178.4445822238922,1.68883e-07,178.368155002594,1.42478e-06,178.26722407341003,1.41673e-06,178.35712695121765,1.39073e-06,178.1389729976654,0.0120026,4,[4],4,[4],4,4,4,4,0.2094240837696335,0.19900497512437812,0.19900497512437812,0.2094240837696335,0.2094240837696335
177.43726301193237,1.4391e-07,177.3611831665039,1.18944e-06,177.26446413993835,8.2495e-07,177.3522868156433,1.30089e-06,177.13483905792236,0.0120026,5,[5],5,[5],5,5,5,5,0.2617801047120419,0.24875621890547264,0.24875621890547264,0.2617801047120419,0.2617801047120419
176.43074202537537,1.38902e-07,176.35581803321838,9.9133e-07,176.2602241039276,1.11224e-06,176.34746193885803,1.30489e-06,176.1283049583435,0.0120028,6,[6],6,[6],6,6,6,6,0.31413612565445026,0.2985074626865672,0.2985074626865672,0.31413612565445026,0.31413612565445026
175.42331504821777,1.34841e-07,175.35072994232178,9.8595e-07,175.25432515144348,6.6587e-07,175.3427438735962,1.33974e-06,175.1254940032959,0.0120029,7,[7],7,[7],7,7,7,7,0.36649214659685864,0.3482587064676617,0.3482587064676617,0.36649214659685864,0.36649214659685864
174.42086601257324,1.24195e-07,174.34425711631775,9.463e-07,174.24769711494446,7.858e-07,174.33896589279175,1.29e-06,174.12209701538086,0.0120028,8,[8],8,[8],8,8,8,8,0.418848167539267,0.39800995024875624,0.39800995024875624,0.418848167539267,0.418848167539267
173.4156630039215,1.16865e-07,173.33698201179504,9.2898e-07,173.24260807037354,5.1187e-07,173.33468389511108,1.21147e-06,173.11606311798096,0.0120029,9,[9],9,[9],9,9,9,9,0.4712041884816754,0.44776119402985076,0.44776119402985076,0.4712041884816754,0.4712041884816754
172.4089651107788,1.076e-07,172.33045506477356,9.3731e-07,172.2374460697174,2.66642e-07,172.32836198806763,1.43457e-06,172.1135711669922,0.0120028,10,[10],10,[10],10,10,10,10,0.5235602094240838,0.4975124378109453,0.4975124378109453,0.5235602094240838,0.5235602094240838
171.40501022338867,1.00896e-07,171.32413506507874,9.567e-07,171.23074221611023,2.30688e-07,171.321044921875,1.50291e-06,171.11110305786133,0.0120026,11,[11],11,[11],11,11,11,11,0.5759162303664922,0.5472636815920399,0.5472636815920399,0.5759162303664922,0.5759162303664922
